"id:","Название:","Название (in english):","Активный:","Краткое описание:","Детальное описание:","Краткое описание (in english):","Детальное описание (in english):","МО:","Субъект федерации:","Значимость:","Населённый пункт:","Населённый пункт (in english):","Адрес:","Адрес (in english):","ОКТМО:","ФЦП (федеральная целевая программа):","Действия с объектом:","Дата начала строительства / реконструкции:","Дата завершения строительства / реконструкции:","Общий объём финансирования:","Финансирование из федерального бюджета:","Финансирование из федерального бюджета (из них освоено):","Финансирование из бюджета субъекта федерации:","Финансирование из бюджета субъекта федерации (из них освоено):","Финансирование из бюджета муниципального образования:","Финансирование из бюджета муниципального образования (из них освоено):","Финансирование из внебюджетных источников:","Финансирование из внебюджетных источников (из них освоено):","Ключевой или нет?:","Курирующий орган:","Курирующий орган (in english):","Адрес курирующего органа:","Адрес курирующего органа (in english):","Телефон курирующего органа:","Контактный телефон объекта:","Режим работы Пн.-Пт.:","Режим работы Сб.:","Режим работы Вс.:","Площадь:","E-mail:","URL сайта:","Внесён в реестр?:","Тип спортивного комплекса:","Какие соревнования проводятся?:","Виды спорта:","Яндекс координата объекта X:","Яндекс координата объекта Y:","Маштаб Яндекс-карты:","Яндекс координата центра X:","Яндекс координата центра Y:","Мини координата X:","Мини координата Y:","Генеральный план:","Дополнительные планы:","Фото:","URL фото галереи объекта:","Видео:","Панорамы:","Web-трансляции:","Прочие материалы:"
"208","Крытый плавательный бассейн «Садко» СДЮСШОР","Indoor swimming pool","Y","МБОУ ДОД СДЮСШОР г. Советский единственное учреждение дополнительного образования детей физкультурно – спортивной направленности Советского района, центр физкультурно – оздоровительной и спортивной работы, осуществляющей подготовку детей на высоком уровне. В феврале 2009 года было введено в эксплуатацию здание «Крытого плавательного бассейна» общей площадью 5172,4 м2, вместимостью 110 чел. в час. В здании находятся ванны для плавания с шестью дорожками по 25м и малая ванна для обучения плаванию. Общей площадью зеркала воды 460 м2. Так же в здании находится зал «сухого» плавания для специальной физической подготовки пловцов и тренажерный зал, оборудованный современными тренажерами. К услугам посетителей имеются помещения двух саун. В здании «Крытого плавательного бассейна» располагается муниципальное образовательное учреждение дополнительного образования детей Детско-юношеская спортивная школа «Арена». В вечернее время всеми услугами плавательного бассейна активно пользуются жители города и района.","Общая площадь здания «Крытого плавательного бассейна» составляет 5172,4 м2, вместимостью 110 чел. в час. В здании находятся ванны для плавания с шестью дорожками по 25м и малая ванна для обучения плаванию. Общей площадью зеркала воды 460 м2. Согласно архитектурного решения здание в плане на местности имеет восьмигранную форму Собственная котельная обеспечивает тепло- и водоснабжение здания. "," In February 2009 the building of the “Covered swimming pool” with a total area of 5,172.4 m2 and admission capacity of 110 persons per hour was put into service.There are pools with six lanes of 25 m in length and a small pool for teaching swimming in the building. A total area of water surface is 460 m2. Additionally, there is a “dry” swimming room for special physical training of swimmers and a fitness centre equipped with modern exercise machines in the building. There are two saunas for visitors’ disposal. “Arena” Children and Youth Sports School Municipal Educational Institution for Additional Education of Children is located in the building.In the evening hours residents of the city and district actively use all the services of the swimming pool.","Total area of ??the &quot Indoor Swimming Pool&quot  is 5,172.4 m2, and capacity is 110 people per hour.The building contains swimming baths with six lanes of 25m each and a small bath for swimming training. Total water surface area is ??460 m2. ","Советский район","Ханты-Мансийский АО",,"г. Советский","Sovetsky","Ханты-Мансийский автономный округ, г. Советский, ул. Макаренко, 5/а","628240, Khanty-Mansiysk-Yugra, the Soviet districts, urban settlements Soviet street Makarenko, d. 5 and","71824104","Развитие ФК и спорта в РФ (2006-2015)","строительство","01.12.2006","31.12.2008",147105000,10000000,,132844000,,4261000,,0,,,"Старший отдела по физической культуре и спорту Департамента социального развития администрации Советского района, Пейль Алексей Владимирович",,,,"8(34675)3-53-43",,"08:00-20:00 (понедельник выходной)",,,,"ukmps@mail.ru",,,"бассейн",,"плавание",63.5594,61.374,15,63.5578,61.3723,0.334,0.3893,0,0,24,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=208",0,0,0,1
"214","Спортивный зал для мини-футбола","Futsal sports hall","Y","Отдельно стоящее здание, расположено на обособленном земельном участке, удаленном от  коммунальных и промышленных предприятий. Одноэтажное общей площадью - 1755,4 м2.  Помещений – 30.  В холле  здания расположены: вахта, гардероб, медкабинет, электрощитовая, теплоузел, раздевалки, душевые, туалеты, кабинет тренера, инвентарная,  кабинет заведующего. Футбольный зал с трибунами на 228 чел.  Единовременная пропускная способность - 200 чел./час.  Всего привлечены к занятиям в секциях: дети &#40 от 6 -21 года&#41  - 160 человек. Даты крупных соревнований и значимых событий: Финал Кубка России среди юношей 2000г.р. по мини-футболу &#40 футзалу&#41  – декабрь 2012г.,2013г.  Первенство ХМАО-Югра среди юношей по мини-футболу – ноябрь, декабрь &#40 ежегодно&#41 .","Здание кирпичное, бетонное, блоки «Сэндвичи». Половое покрытие спортивного зала – терафлекс. Сборные, разборные трибуны. В здании установлены камеры видео наблюдения. Единовременная пропускная способность 50 чел/час.","Detached building, located on the isolated area, remote from municipal and industrial enterprises. Single-storey with a total area - 1755.4 m2. Premises - 30_&lt br&gt In the lobby of the building there are: watch, cloakroom, medical room, switchboard, heating unit, locker rooms, showers, toilets, coach room, inventory, office of the manager_ Football hall with stands for 228 people.&lt br&gt One-time capacity - 200 people per/ Hr.&lt br&gt Totally there are classes for chidren of 6-21 years - 160 people &lt br&gt Dates of major events and significant events:&lt br&gt Cup of Russia among young men born in 2000_in mini-football (football gym) - December 2012_, 2013_&lt br&gt Championship Yugra among young men on mini-football - November, December (annual)_","The building is made of brick, concrete, &quot sandwich&quot  blocks. &lt br&gt &lt br&gt Floor of a sports gym is made of terafleks.&lt br&gt &lt br&gt Constructed, demountable stands. The building has video surveillance cameras.&lt br&gt &lt br&gt Capacity - 50 people / hour.","Город Лангепас","Ханты-Мансийский АО",,"г. Лангепас","Langepas","Ханты-Мансийский автономный округ, г. Лангепас, ул. Солнечная, 23/б","Khanty-Mansi Autonomous Okrug-Yugra, Langepas city, street Solar, 23B","71872000","Развитие ФК и спорта в РФ (2006-2015)","строительство","01.06.2007","30.12.2009",83829000,17500000,,63014000,,3315000,,0,,,,,,,,"8 (34669)2 80 72","08:00-22:00",,,,,,,"зал спортивный",,"игровые виды спорта (разное), мини-футбол, общая физическая подготовка",75.17959999999999,61.2569,16,75.1836,61.2554,,,0,0,18,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=214",0,0,0,0
"221","Ледовый дворец спорта","Ice sports palace","Y","Ледовый Дворец спорта в городе Сургуте открыт 28 ноября 2011 года – это многофункциональный спортивный комплекс, в котором созданы все условия для проведения тренировок спортсменов, активного отдыха жителей и гостей города. Спортивный комплекс ориентирован как на физических лиц, так и на корпоративных клиентов. Услуги, предлагаемые Ледовым дворцом спорта, являются уникальными для рынка города Сургута. В разрезе социальной значимости – Ледовый Дворец спорта является учреждением, как для общего физического развития,  так и для семейного отдыха. В Ледовом Дворце спорта функционируют: ледовая арена, 25 метровый бассейн, мини-аквапарк с горками-аттракционами, тренажёрные залы, зал борьбы, зал хореографии, зал йоги и пилатеса, конференц зал, фойе для проведения выставок и семинаров, оборудованные раздевалки и душевые, универсальная уличная спортивная площадка с искусственным покрытием – всё для комфортного проведения спортивных и массовых мероприятий и занятий спортом. •Общая площадь здания 23 126,5 м. На базе Ледового Дворца спорта открыты отделения по видам спорта: хоккей с шайбой, фигурное катание на коньках, черлидинг, оздоровительное плавание, оздоровительная гимнастика. Даты крупных соревнований и значимых событий: - 05, 06 марта 2013 года – Первенство России  по хоккею с шайбой среди команд СДЮШОР  «Нефтяник-96» &#40 г.Сургут&#41  – «Авангард» &#40 г.Омск&#41  - 09, 10  марта 2013 года – Первенство России  по хоккею с шайбой среди команд СДЮШОР  «Нефтяник-96» &#40 г.Сургут&#41  – «Газовик» &#40 г.Тюмень&#41  - 10 марта 2013 года – II турнир по хоккею с шайбой среди дворовых команд, посвящённый памяти В.А. Варенюка - 19-23 марта 2013 года – Первенство Ханты-Мансийского автономного округа-Югра по шахматам среди детей до 8 лет - 28-31 марта 2013 года – IV тур Первенства ХМАЮ-Югры по хоккею с шайбой среди юношей 2001 г.р. сезона 2012-2013 г.г. - 04, 05, 06, 10, 11, 12, 13, 14 апреля 2013 года – Первенство ХМАО-Югры по хоккею с шайбой среди ДЮСШ сезона 2012-2013 г. - 18, 19, 20, 21 апреля 2013 года – Турнир ХМАО-Югры по хоккею с шайбой среди команд 2004 г.р. на призы Русского радио Сургут - 27, 28 апреля 2013 года – Первенство Сургутского района по хоккею с шайбой в зачёт XXII комплексной Спартакиады городских и сельских поселений 28 апреля, 05 мая 2013 года – Городской турнир по хоккею с шайбой среди ветеранов спорта - 04-09 мая 2013 года – Лично-командное Первенство ХМАО-Югры по шахматам среди детских коллективов  «Надежда Югры», посвященное памяти участника ВОВ Г.Н. Никонова - 7, 8 мая 2013 года – Открытый турнир по фигурному катанию на коньках среди мальчиков и девочек «Сургутский фигурист»  - 09 мая 2013 года – Спортивно-развлекательное мероприятие «Дорогами войны»  - 16, 17 мая 2013 года – Товарищеский матч по хоккею между командами «Октан» &#40 ООО «Газпром переработка» г.Сургут&#41  и ГЭС-2 &#40 ОАО «Газпром» г.Москва&#41  приуроченный к празднованию 20-летия ОАО «Газпром» - 18, 19 мая 2013 года – Открытое первенство города Сургута по синхронному плаванию - 25 мая 2013 года – Закрытие Ледового сезона 2012-2013 г.г. - 01, 02 июня 2013 года – детское ледовое шоу «Волшебный калейдоскоп» - 12 июня 2013 года – Конкурс рисунков на асфальте «Любимый город», в рамках празднования Дня города - 10 августа 2013 года – Спортивно-массовое мероприятие, приуроченное к празднованию Всероссийского Дня физкультурника «Физкульт-привет! На встречу Олимпиаде!» - 14 сентября 2013 – Открытие ледового сезона - 14, 15 сентября 2013 года – игры Первенства России по хоккею с шайбой МКС «Урал-Западная Сибирь» сезона 2013-2014 г.г. «Нефтяник» &#40 г.Сургут&#41 -«Рубин» &#40 г.Тюмень&#41 1996 г.р. - 05, 06 октября 2013 года –  Первенство России по хоккею МКС «Урал-Западная Сибирь» сезона 2013-14г.г. 1996 г.р. «Нефтяник» &#40 г. Сургут&#41  – «Автомобилисты» &#40 г. Екатеринбург&#41  - 26, 27 октября 2013 года – Первенство России по хоккею МКС «Урал-Западная Сибирь» сезона 2013-14г.г.1996 г.р. «Нефтяник» &#40 г. Сургут&#41  – «Мечел» &#40 г. Челябинск&#41  - 07 ноября 2013 года – Благотворительный хоккейный матч среди хоккейных команд «Югра» - «Сургут и Сургутский район» - 18, 19 ноября 2013 года – Первенство России по хоккею МКС «Урал-Западная Сибирь» сезона 2013-14г.г., 1996 г.р. «Нефтяник» &#40 г.Сургут &#41  – «Молот» &#40 г. Пермь&#41  - 07, 08 декабря 2013 года Первенство России по хоккею МКС «Урал-Западная Сибирь» сезона 2013-14г.г., 1996 г.р. «Нефтяник» &#40 г.Сургут&#41  –  «Трактор» &#40 г. Челябинск&#41  - 13, 14, 15 декабря 2013 года – Турнир по хоккею с шайбой среди команд 2004 г.р. на переходящий Кубок «Черного Лиса» - 22 декабря 2013 года – Первенство г. Сургута по синхронному плаванию - 22 декабря 2013 года – Спортивное мероприятие посвященное празднованию Нового года «В гостях у сказки» - 28, 29 декабря 2013 года – ледовое шоу «Новогоднее путешествие»  ","Общая площадь объекта составляет 21 247 м2. Перечень помещений спортивного назначения: хоккейный корт, плавательный бассейн &#40 малая и большая чаши&#41 . Кровля выполнена по типу пространственной металлоконструкции. Здание каркасно-монолитное. ","Ice Palace of Sports in the city of Surgut opened on 28 November 2011 - is a multi-sports complex, in which all the conditions for training athletes and active recreation for residents and visitors. Sports complex targets both individuals and corporate clients. The services offered by the Ice Palace, are unique to the market of Surgut. In terms of social significance - Ice Palace of Sports is an institution for general physical development, as well as for families.&lt br&gt &lt br&gt In the Ice Sports Palace are functioning: ice rink, a 25 meter swimming pool, mini-яwater park with slides , gyms, wrestling gym, dance, yoga and pilates , conference room, foyer for exhibitions and workshops, equipped with changing rooms and showers, universal outdoor playground with artificial turf - everything for яcomfortable mass sporting events and doing sports.&lt br&gt ? The total area is ??23 126.5 m.&lt br&gt On the basis of the Ice Palace there are : ice hockey, figure skating, cheerleading, recreation swimming, improving gymnastics.&lt br&gt Dates of major events and significant events:&lt br&gt - 05, March 6, 2013 - Russian Championship in Ice Hockey among Teams &quot Neftyanyk-96&quot  (Surgut) - &quot Avangard&quot  (Omsk)&lt br&gt - 09, March 10, 2013 - Russian Championship Ice Hockey Team &quot Neftyanik-96&quot  (Surgut) - &quot Gasovik&quot  (Tyumen)&lt br&gt - March 10, 2013 - II Tournament in Ice Hockey among amateur teams dedicated to memory of V.A Varenyuk&lt br&gt - 19-23 March 2013 - Championship of Khanty-Mansiysk Autonomous Okrug-Yugra chess among children up to 8 years&lt br&gt - 28-31 March 2013 - IV Tour of Championship HMAYU Yugra hockey among young men born in 2001 of the season 2012-2013 &lt br&gt - 04, 05, 06, 10, 11, 12, 13, April 14, 2013 ?&lt br&gt &lt br&gt Championship Yugra inяice hockey of the season 2012-2013,among the Youth Sports Schools&lt br&gt - 18, 19, 20, April 21, 2013 - Tournament of Yugra -in ice hockey among the teams of 2004 year of birth for prizes of Russian radio Surgut&lt br&gt - 27, April 28, 2013 - Championship of Surgut district on ice hockey inяintegrated XXII Spartakiad Games of urban and rural settlements&lt br&gt April 28, May 5, 2013 - City Tournament in Ice Hockey among veterans of sport&lt br&gt - 04-09 May 2013 - Individual and team chess championships Yugra among children's groups &quot Nadezhda Ugry&quot , dedicated to the memory of the Second World War participant&lt br&gt G.N Nikonov&lt br&gt - 7, 8 May 2013 - Open tournament in figure skating for boys and girls &quot Surgut skater&quot &lt br&gt - May 9, 2013 - Sport and entertainment event &quot Roads of War&quot &lt br&gt - 16, May 17, 2013 - Friendly match between hockey teams &quot Octane&quot  (OOO &quot Gazprom Recycling&quot  Surgut) and -HPP2 (OAO &quot Gazprom&quot , Moscow) dedicated to the 20th anniversary of OJSC &quot Gazprom&quot &lt br&gt - 18, May 19, 2013 - Open Championship of the city of Surgut in synchronized swimming&lt br&gt - May 25, 2013 - Closure of the ice season 2012-2013&lt br&gt - 01, June 2, 2013 - Children's ice show &quot The Magic Kaleidoscope&quot &lt br&gt - June 12, 2013 - competition of children drawings &quot Liubimy gorod&quot , within the celebrations of the day of the city&lt br&gt &lt br&gt - August 10, 2013 - Sports events to mark the celebration of the Day of the All-Russian Sportsmen &quot Fizkult privet! To meet the Olympics! &quot &lt br&gt - 14 September 2013 - Opening of the ice season&lt br&gt - 14, 15 September 2013 - games of Championship of Russia in hockey ISS &quot Urals-Western Siberia&quot  season 2013-2014 &lt br&gt &quot Neftyanik&quot  (Surgut) - &quot Rubin&quot  (Tyumen), 1996 year of birth&lt br&gt - 05, 06 October 2013 - Russian Championship in Hockey ISS &quot Urals-Western Siberia&quot  2013-14 season. 1996 year of birth&lt br&gt &quot Neftyanik&quot  (Surgut) - &quot Avtomobilisty&quot  (Ekaterinburg)&lt br&gt - 26, 27 October 2013 - Russian Championship in ice hockey ISS &quot Urals-Western Siberia&quot  season 2013-14 1996 year of birth &quot Oilman&quot  (Surgut) - &quot Mechel&quot  (Chelyabinsk)&lt br&gt - November 7, 2013 - Charity hockey game hockey teams &quot Ugra&quot  - &quot Surgut and Surgut area&quot &lt br&gt - 18, 19 November , 2013 - Championship of Russia on hockey ISS &quot Urals-Western Siberia&quot  season 2013-14, 1996 year of birth, &quot Neftyanik&quot  (Surgut) - &quot The Hammer&quot  (Perm)&lt br&gt - 07, 8 December 2013 Russian Championship in ice hockey ISS &quot Urals-Western Siberia&quot  season 2013-14., 1996 year of birth &quot Neftyanik&quot  (Surgut) - &quot Tractor&quot  (Chelyabinsk)&lt br&gt - 13, 14, 15 December 2013 - The tournament in Ice Hockey among the teams of 2004 year of birth for challenge cup &quot Cherny Lis &quot &lt br&gt - 22 December , 2013 - Championship of Surgut in synchronized swimming&lt br&gt - 22 December 2013 - Sports event to celebrate the New Year, &quot V Gostyakh u Skazki&quot &lt br&gt - 28,29 December, 2013 - ice show &quot New Year Journey&quot ","The facility total area is 21,247 m2.List of sports facilities: ice hockey rink and swimming pool (small and big pool basins).","Сургутский район","Ханты-Мансийский АО",,"г. Сургут","Surgut","Ханты - Мансийский автономный округ, г. Сургут, Югорский тракт, 40","628403, Tyumen region, the Khanty - Mansiysk Autonomous Okrug - Yugra, Surgut, Ugra tract 40.","71876000","Развитие ФК и спорта в РФ (2006-2015)","строительство","01.06.2008","05.11.2011",814724600,90000000,,8293100,,587035000,,129396500,,,,,,,"8 (3462) 95 07 79","8 (346) 295-07-95","07:00-21:00",,,,"lds2011@list.ru",,,"арена ледовая",,"аквааэробика, греко-римская борьба, общая физическая подготовка, пауэрлифтинг, плавание, синхронное плавание, спортивная аэробика, спортивная гимнастика, фигурное катание, фитнес-аэробика, хоккей, художественная гимнастика, черлидинг",73.37739999999999,61.2381,16,73.38290000000001,61.241,,,0,0,16,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=221",0,0,0,0
"227","Спортивный центр с плавательным бассейном","Sports center","Y","Спортивный центр с плавательным бассейном в п.Лыхма – универсальное спортивное здание с комплексом спортивно-оздоровительных объектов. Спортивное заведение характеризуется спецификой своей работы: осуществляет физкультурно-оздоровительную и спортивную работу среди населения, направленную на укрепление их здоровья и всестороннее физическое развитие. Наиболее массовым видом спорта в Спортивном центре с плавательным бассейном в п.Лыхма является плавание. Этим видом спорта занимаются около 80 мальчишек и девчонок. В этом виде спорта сборные команды с.п. Лыхма  регулярно принимают участие в районных соревнованиях завоевывая призовые места.  Большое внимание персоналом бассейна уделяется работе с детьми применяя новые формы и методы работы, под пристальным вниманием медицинского персонала. Спортивный центр с плавательным бассейном в п.Лыхма успешно выполняет одну из основных задач – массового привлечения детей и подростков к занятиям спортом. Как показывает практика, они во многом определяют отношения ребят к учебе, их поведению в быту. ","Общая площадь объекта составляет 2111 м2. Перечень помещений спортивного назначения: бассейн, малый бассейн, универсальный игровой зал. Численность регулярно занимающихся составляет 85 человек, единовременная пропускная способность - 38 чел/час.","Name of the institution based on this sports facility: ”Sport centre with a swimming pool in the village of Lykhma” budgetary establishment.","The facility total area is 2,111 m2.List of sports facilities: swimming pool, small swimming pool and multi-purpose sports hall.Number of regular visitors is 85 people  one-time capacity is 38 people per hour.","Белоярский район","Ханты-Мансийский АО",,"пос. Лыхма","settlement Lykhma","Ханты-Мансийский автономный округ, пос. Лыхма, стр. 39/а","Build. 39-А, Lyhma, Beloyarsky region, Khanty-Mansi Autonomous District, 628173","71811412","Развитие ФК и спорта в РФ (2006-2015)","строительство","15.12.2006","24.12.2009",212165000,60000000,,150646000,,1519000,,0,,,,,,,"8 (34670) 2-16-42","т/факс: 4-84-10","10:35-20:45",,,,"NurtdinovRA@admbel",,,"многофункциональный спортивный комплекс",,"аквааэробика, плавание",66.9466,63.2185,16,66.9462,63.2203,0.3893,0.5104,0,0,10,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=227",0,0,0,0
"234","Спортивный центр с универсальным игровым залом ","Sports Centre with Multipurpose Sports Gym","Y","Отдельно стоящее здание, расположено на обособленном земельном участке, удаленном от  коммунальных и промышленных предприятий. Двухэтажное, обще площадью - 3092,8 кв.м., здания- 2540,5 кв.м. количество помещений - 38. На первом этаже здания расположены: вахта, гардероб, медкабинет, электрощитовая, теплоузел, раздевалки, душевые, туалеты, инвентарная, тренажерный зал, спортивный зал, в котором находятся одна инвентарная комната.  На втором этаже расположены. Кабинет заведующего,  вентиляционная комната, кабинет тренера, кардиозал, методический кабинет, зал тенниса. Единовременная пропускная способность - 300 человек.  Всего привлечены к занятиям в секциях: дети &#40 от 6 -21 года&#41  –  145 человек Проводятся соревнования и учебные группы по баскетболу, волейболу, н/теннису и групп общей физической подготовки, соревнования по различным видам спорта Спартакиады города, Первенства ХМАО-Югра.","Общая площадь объекта составляет 3092,8 м2. Перечень помещений спортивного назначения: универсальный игровой зал, тренажерный зал, зал настольного тенниса, кардио-зал. Единовременная пропускная способность 90 чел/час. Здание кирпичное, бетонное, блоки «Сэндвичи». Половое покрытие спортивного зала – терафлекс. Сборные, разборные трибуны. В здании установлены камеры видео наблюдения. ","Detached building, located on the isolated area, remote from municipal and industrial enterprises. Two-storey building, general area - 3092.8 sq.m. , building- 2,540.5 sq.m. number of rooms - 38. On the first floor there are: watch, cloakroom, medical room, switchboard, heating unit, locker rooms, showers, toilets, inventory, gym, sports hall, which houses one room inventory.&lt br&gt On the second floorяthere are: manager`s office , ventilation room,я coach room, бardiological room, methodical study, tennis gym. .&lt br&gt One-time capacity - 300 people.&lt br&gt There are classes for chidren of 6-21 years - totally 145 people ","The facility total area is 3,092.8 m2.List of sports facilities: multi-purpose sports hall, weight room, table tennis room, and cardio room.One-time capacity is 90 people per hour.","Город Лангепас","Ханты-Мансийский АО",,"г. Лангепас","Langepas","Ханты-Мансийский автономный округ-Югра, г. Лангепас, ул. Ленина, 47","47 Lenin str., Langepas","71872000","Развитие ФК и спорта в РФ (2006-2015)","строительство","14.01.2008","30.12.2011",143946000,17500000,,114058000,,12388000,,0,,,,,,,,"8(34669)5-16-27","08:00-23:00",,,,,,,"многофункциональный спортивный комплекс",,"баскетбол, бодибилдинг, волейбол, настольный теннис, общая физическая подготовка, фитнес-аэробика",75.19410000000001,61.2447,15,75.18259999999999,61.2498,,,0,0,16,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=234",0,0,0,0
"243","Крытый хоккейный корт","Indoor ice hockey rink","Y","Наименование учреждения на базе данного спортивного сооружения: Муниципальное учреждение спортивный комплекс «Айсберг». Штатная численность работников 45 человек, из них 4 тренера, 2 старших тренера. Даты крупных соревнований и значимых событий: Март, Ежегодный детский турнир по хоккею с шайбой на Кубок  А.И. Ногтева. ","Общая площадь объекта составляет 4374 м2. Перечень  помещений спортивного назначения: хоккейный корт, тренажерный зал. Единовременная пропускная способность 50 чел/час.","A number of staff members is 45 employees of which 4 trainers and 2 senior trainers.Name of the institution based on this sports facility: “Iceberg” Sports Complex Municipal Establishment.","The facility total area is 4,374 m2.List of sports facilities: ice hockey rink and weight room.One-time capacity is 50 people per hour.","Березовский район","Ханты-Мансийский АО",,"пгт Игрим","Igrim village","Хантымансийский АО, пгт Игрим, ул. Промышленная, 50","50 Promyshlennaya str., Igrim, Berezovsky region","71812154","Развитие ФК и спорта в РФ (2006-2015)","строительство","18.12.2006","16.09.2014",250351000,45000000,,176470000,,28881000,,0,,,,,,,,"8(34674) 6-20-97","09:00-22:00",,,,"sk-aisberg@mail.ru",,,"арена ледовая",,"фигурное катание, хоккей",64.4289,63.1906,16,64.4299,63.191,,,1,21,8,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=243",0,0,0,0
"252","Спортивный центр с универсальным игровым залом и плавательным бассейном","Sports center","Y","Оздоровление нации путем увеличения количества занимающихся ФКС как среди детей, так и взрослого населения. Развитие новых видов спорта, увеличение спортивного резерва района.","Общая площадь объекта составляет 5855 м2. Перечень  помещений спортивного назначения: универсальный игровой зал, тренажерный зал, плавательный бассейн, детский плавательный бассейн.","Health improvement of the nation by increasing the amount involved in sportsя within both children and adults. The development of new kinds of sports, increase of sports reserve of area.","The facility total area is 5,855 m2.List of sports facilities: multi-purpose sports hall, weight room, swimming pool, and children’s swimming pool.","Кондинский район","Ханты-Мансийский АО",,"пгт Мортка","Mortka village","Ханты-Мансийский автономный округ, пгт Мортка, ул. Путейская, 16","Mortka, Kondinsky region","71816163","Развитие ФК и спорта в РФ (2006-2015)","строительство","20.04.2007","27.12.2013",493935110,60000000,,412090300,215928000,21844810,,0,,,"Инспектор по контролю за исполнением поручений Оленева Марина Евгеньевна",,,,"(34677)32-328","8(34677)30-594","8.00-22.00",,,,"kondasport@mail.ru",,,"многофункциональный спортивный комплекс",,"баскетбол, бокс, волейбол, гандбол, дзюдо, игровые виды спорта (разное), мини-футбол, настольный теннис, пауэрлифтинг, плавание, спортивная гимнастика, тяжёлая атлетика",66.01690000000001,59.3274,16,66.01560000000001,59.3289,,,0,0,43,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=252",0,0,0,0
"260","Спортивный комплекс с плавательным бассейном","Swimming pool","Y",,,,,"Каменский район","Алтайский край",,"г. Камень-на-Оби","Kamen-na-Obi","Алтайский край, г. Камень-на-Оби, ул. Пушкина, 26","26 Pushkin str., Kamen-na-Obi, Altai Territory","1616101","Развитие ФК и спорта в РФ (2006-2015)","строительство","01.01.2010","05.07.2013",50000000,50000000,,0,,0,,0,,,,,,,,,,,,,,,,"бассейн",,"плавание",81.3424,53.7901,15,81.34399999999999,53.7898,,,0,0,26,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=260",0,7,0,0
"262","Учебный корпус школы № 4 со спортивным залом","Sports hallthe No 4","Y","Является социально-значимым объектом поселка  место проведения активного отдыха и проведение уроков физической культуры.  Проводятся учебные занятия по физической культуре, соревнования поселкового и окружного масштаба. Работают секции по волейболу, баскетболу легкой атлетике. Соревнования поселкового и окружного масштаба. ","Строительство велось с использованием типовых технологий.","Classes of physical training, competitions of village and region are carried out. Volleyball, basketball, track-and-field athletics sections function.",,"Агинский район","Забайкальский край",,"пгт Агинское","Aginskoe","Забайкальский край, пгт Агинское, ул. Ранжурова, 255/е","Trans-Baikal Territory, Aginskoye, Ranzhurov str.,  25/е","76702000","Развитие ФК и спорта в РФ (2006-2015)","строительство","16.05.2008","16.12.2009",17500000,17500000,,0,,0,,0,,,"Ведущий инженер - Карелин Алексей Владимирович",,,,"3022-400-976",,,,,,"aleksey.karelin1985@mail.ru",,,"зал спортивный",,"баскетбол, волейбол, лёгкая атлетика, мини-футбол",114.5576,51.0956,15,114.5521,51.0979,,,0,0,5,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=262",0,0,0,0
"270","Спортивный зал в средней школе № 3","Sports hall the No 3","Y","Проводятся учебные занятия по физической культуре. Работают секции по волейболу, баскетболу, легкой атлетике, борьбе, боксу, шахматам. Даты крупных соревнований значимых событий:   Первенство России по вольной борьбе среди юношей 1996-1997 г.р. 7-10 декабря 2012 г., Ежегодно проводится международный турнир по вольной борьбе памяти Героя Советского Союза Базара Ринчино, Всероссийский турнир класса «А» по боксу на призы депутата Государственной Думы ФС РФ народного артиста СССР, профессора Иосифа Кобзона, Зимняя спартакиада ГО «Поселок Агинское».","В здании имется следующие спортивные помещения: спортивный зал, тренажерный зал, раздевалка. Здание оснащено пандусами, имеется парковка."," Classes of physical training are given. Volleyball, basketball, track-and-field athletics, wrestling, boxing and chess sections function.Dates of large competitions and significant events:Russian freestyle wrestling championship among young men of 1996 -1997 year of birth, December 7-10, 2012 International freestyle wrestling tournament to the memory of the Hero of the Soviet Union Bazar Rinchino, All-Russian boxing tournament of “A” class for a prize of the State Duma Federal Assembly Deputy People's Artist of the USSR Professor Kobzon, Winter Spartakiad Games of “Aginskoe village” municipal district are held annually.","The building contains the following sports facilities: sports hall, weight room and changing room.The building is equipped with ramps. Parking is available.","Агинский район","Забайкальский край",,"пгт Агинское","Aginskoe","Забайкальский край, пгт Агинское, ул. Ленина, 146","Trans-Baikal Territory, Aginskoye, 146 Lenina str., 146","76702000","Развитие ФК и спорта в РФ (2006-2015)","строительство","01.09.2003","28.12.2007",33500000,33500000,,0,,0,,0,,,"Ведущий инженер - Карелин Алексей Владимирович",,,,"3022-400-976",,,,,,"aleksey.karelin1985@mail.ru",,,"зал спортивный",,"баскетбол, волейбол, лёгкая атлетика, мини-футбол",114.5364,51.1049,16,114.5321,51.1057,,,0,0,18,"http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=270",0,0,0,0
